Cant;Config;Energy (sigma->0);Con spin;Mag;Energy/atom;Type
3;Lineal;-4.0890;-4.1358;0.9205;-1.3630;1D
3;Triangular;-4.1966;-4.2443;0.9220;-1.3989;2D
4;Lineal;-6.0823;-6.0823;0.0008;-1.5206;1D
4;Cuadrado;-6.0816;-6.0816;1.9504;-1.5204;2D
4;Coronado;-6.9222;-6.9221;-0.0002;-1.7305;2D
4;Rombo;-6.0828;-6.2330;1.9504;-1.5207;2D
4;Piramide;-5.7979;-5.7978;-0.0002;-1.4495;3D
5;Lineal (se va pa fuera);-8.1563;-8.1564;-0.0006;-1.6313;1D
5;Planar Alado;-9.3594;-9.4069;0.9229;-1.8719;2D
5;Planar Cuadrado;-7.8026;-7.8146;0.7322;-1.5605;2D
5;Piramidal;-8.4850;-8.5273;0.9686;-1.6970;3D
5;Bipiramidal;-8.4064;-8.4501;0.9757;-1.6813;3D
6;Planar 3/3;-11.3290;-11.3289;0.0005;-1.8882;2D
6;Planar 2/4;-11.1739;-11.1738;0.0189;-1.8623;2D
6;Planar 1/5;-11.8425;-11.8425;0.0004;-1.9738;2D
6;Piramidal 5/1;-11.7427;-11.7425;0.0004;-1.9571;3D
6;Piramidal 4/2;-11.2628;-11.2627;0.0002;-1.8771;3D
6;Prima triangular ;-10.6067;-10.7276;1.9088;-1.7678;3D
6;Bipiramidal 4/2;-10.5605;-10.6394;1.9276;-1.7601;3D
